initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 59, G_loss: 0.33491, step_acc: 7.60798, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.33447, step_acc: 7.61591, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.33408, step_acc: 7.62272, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.33368, step_acc: 7.62686, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.33338, step_acc: 7.63532, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.33314, step_acc: 7.63714, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.33290, step_acc: 7.64275, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.33270, step_acc: 7.64752, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.33250, step_acc: 7.65463, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.33229, step_acc: 7.66543, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.33201, step_acc: 7.67640, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.33169, step_acc: 7.69147, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.33120, step_acc: 7.70790, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.33081, step_acc: 7.71201, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.33045, step_acc: 7.71631, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.33011, step_acc: 7.72477, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.32981, step_acc: 7.73116, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.32951, step_acc: 7.73774, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.32927, step_acc: 7.74431, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.32898, step_acc: 7.75491, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.32863, step_acc: 7.76865, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.32820, step_acc: 7.79065, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.32762, step_acc: 7.80308, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.32714, step_acc: 7.81869, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.32650, step_acc: 7.83894, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 84, G_loss: 0.32572, step_acc: 7.85948, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 85, G_loss: 0.32492, step_acc: 7.88047, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 86, G_loss: 0.32412, step_acc: 7.90999, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 87, G_loss: 0.32303, step_acc: 7.93483, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 88, G_loss: 0.32210, step_acc: 7.96035, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 89, G_loss: 0.32104, step_acc: 7.99033, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 90, G_loss: 0.31972, step_acc: 8.01531, grid_scale: 1 / 5, strokes: 2 / 9
