initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 59, G_loss: 0.54222, step_acc: 4.22801, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.53908, step_acc: 4.25667, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.53675, step_acc: 4.28798, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.53411, step_acc: 4.32333, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.53111, step_acc: 4.35419, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.52849, step_acc: 4.39486, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.52537, step_acc: 4.41509, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.52357, step_acc: 4.43814, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.52156, step_acc: 4.46112, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.51941, step_acc: 4.48770, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.51713, step_acc: 4.51707, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.51513, step_acc: 4.55590, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.51217, step_acc: 4.58434, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.51016, step_acc: 4.61557, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.50793, step_acc: 4.63839, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.50608, step_acc: 4.66285, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.50408, step_acc: 4.70013, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.50154, step_acc: 4.74787, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.49823, step_acc: 4.78291, grid_scale: 1 / 5, strokes: 2 / 9
