initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 59, G_loss: 0.32959, step_acc: 7.73723, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.32851, step_acc: 7.75970, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.32756, step_acc: 7.76836, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.32656, step_acc: 7.78502, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.32559, step_acc: 7.79467, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.32489, step_acc: 7.81077, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.32423, step_acc: 7.82134, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.32370, step_acc: 7.83292, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.32282, step_acc: 7.84774, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.32221, step_acc: 7.85537, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.32156, step_acc: 7.86522, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.32101, step_acc: 7.88165, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.32045, step_acc: 7.89070, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.32002, step_acc: 7.90101, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.31938, step_acc: 7.90405, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.31889, step_acc: 7.91199, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.31841, step_acc: 7.92063, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.31790, step_acc: 7.93404, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.31775, step_acc: 7.93626, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.31701, step_acc: 7.94647, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.31674, step_acc: 7.95078, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.31627, step_acc: 7.95857, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.31587, step_acc: 7.96978, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.31547, step_acc: 7.96786, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.31522, step_acc: 7.98430, grid_scale: 1 / 5, strokes: 2 / 9
