initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 59, G_loss: 0.52506, step_acc: 4.30381, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.52215, step_acc: 4.35461, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.51759, step_acc: 4.38032, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.51480, step_acc: 4.42901, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.51058, step_acc: 4.46718, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.50738, step_acc: 4.48208, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.50610, step_acc: 4.49178, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.50480, step_acc: 4.51566, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.50269, step_acc: 4.52223, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.50163, step_acc: 4.53799, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.50000, step_acc: 4.55425, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.49843, step_acc: 4.57056, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.49683, step_acc: 4.58976, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.49511, step_acc: 4.60065, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.49385, step_acc: 4.62032, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.49223, step_acc: 4.65306, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.48992, step_acc: 4.67934, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.48801, step_acc: 4.68919, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.48689, step_acc: 4.69840, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.48592, step_acc: 4.70691, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.48494, step_acc: 4.71933, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.48369, step_acc: 4.73974, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.48206, step_acc: 4.77000, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.47986, step_acc: 4.79443, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.47812, step_acc: 4.81199, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 84, G_loss: 0.47639, step_acc: 4.83568, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 85, G_loss: 0.47477, step_acc: 4.85117, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 86, G_loss: 0.47358, step_acc: 4.86234, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 87, G_loss: 0.47257, step_acc: 4.88087, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 88, G_loss: 0.47130, step_acc: 4.89989, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 89, G_loss: 0.47000, step_acc: 4.91460, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 90, G_loss: 0.46857, step_acc: 4.93377, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 91, G_loss: 0.46680, step_acc: 4.97127, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 92, G_loss: 0.46413, step_acc: 4.98929, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 93, G_loss: 0.46257, step_acc: 4.99945, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 94, G_loss: 0.46162, step_acc: 5.00939, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 95, G_loss: 0.46080, step_acc: 5.01618, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 96, G_loss: 0.46005, step_acc: 5.03439, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 97, G_loss: 0.45869, step_acc: 5.06744, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 98, G_loss: 0.45632, step_acc: 5.09099, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 99, G_loss: 0.45509, step_acc: 5.11033, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 100, G_loss: 0.45398, step_acc: 5.14009, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 101, G_loss: 0.45236, step_acc: 5.15874, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 102, G_loss: 0.45100, step_acc: 5.17340, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 103, G_loss: 0.44994, step_acc: 5.17688, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 104, G_loss: 0.44931, step_acc: 5.18499, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 105, G_loss: 0.44883, step_acc: 5.18458, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 106, G_loss: 0.44803, step_acc: 5.20971, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 107, G_loss: 0.44636, step_acc: 5.22968, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 108, G_loss: 0.44449, step_acc: 5.24683, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 109, G_loss: 0.44342, step_acc: 5.25909, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 110, G_loss: 0.44237, step_acc: 5.38157, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 111, G_loss: 0.43565, step_acc: 5.48721, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 112, G_loss: 0.43006, step_acc: 5.53670, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 113, G_loss: 0.42674, step_acc: 5.62817, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 114, G_loss: 0.42121, step_acc: 5.72239, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 115, G_loss: 0.41508, step_acc: 5.83483, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 116, G_loss: 0.40812, step_acc: 5.87579, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 117, G_loss: 0.40486, step_acc: 5.93229, grid_scale: 1 / 5, strokes: 3 / 9
