initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 59, G_loss: 0.52378, step_acc: 4.30189, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 60, G_loss: 0.52198, step_acc: 4.31952, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 61, G_loss: 0.52055, step_acc: 4.32158, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 62, G_loss: 0.51960, step_acc: 4.33036, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 63, G_loss: 0.51869, step_acc: 4.33883, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 64, G_loss: 0.51740, step_acc: 4.36300, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 65, G_loss: 0.51548, step_acc: 4.40043, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 66, G_loss: 0.51241, step_acc: 4.43807, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 67, G_loss: 0.50933, step_acc: 4.46378, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 68, G_loss: 0.50720, step_acc: 4.49645, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 69, G_loss: 0.50418, step_acc: 4.53414, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 70, G_loss: 0.50067, step_acc: 4.60293, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 71, G_loss: 0.49537, step_acc: 4.63424, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 72, G_loss: 0.49268, step_acc: 4.67953, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 73, G_loss: 0.48943, step_acc: 4.72160, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 74, G_loss: 0.48573, step_acc: 4.79070, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 75, G_loss: 0.48078, step_acc: 4.86143, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 76, G_loss: 0.47492, step_acc: 4.98166, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 77, G_loss: 0.46671, step_acc: 5.04365, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 78, G_loss: 0.46145, step_acc: 5.11269, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 79, G_loss: 0.45653, step_acc: 5.20659, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 80, G_loss: 0.44978, step_acc: 5.25575, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 81, G_loss: 0.44610, step_acc: 5.28692, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 82, G_loss: 0.44355, step_acc: 5.37455, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 83, G_loss: 0.43797, step_acc: 5.49875, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 84, G_loss: 0.43089, step_acc: 5.60852, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 85, G_loss: 0.42466, step_acc: 5.70404, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 86, G_loss: 0.41937, step_acc: 5.77158, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 87, G_loss: 0.41530, step_acc: 5.82306, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 88, G_loss: 0.41211, step_acc: 5.86224, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 89, G_loss: 0.40975, step_acc: 5.90127, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 90, G_loss: 0.40709, step_acc: 5.94154, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 91, G_loss: 0.40435, step_acc: 5.98686, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 92, G_loss: 0.40142, step_acc: 6.06507, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 93, G_loss: 0.39701, step_acc: 6.15570, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 94, G_loss: 0.39191, step_acc: 6.20181, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 95, G_loss: 0.38906, step_acc: 6.24285, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 96, G_loss: 0.38672, step_acc: 6.26639, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 97, G_loss: 0.38511, step_acc: 6.28629, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 98, G_loss: 0.38401, step_acc: 6.30746, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 99, G_loss: 0.38287, step_acc: 6.35953, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 100, G_loss: 0.38065, step_acc: 6.41413, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 101, G_loss: 0.37798, step_acc: 6.46453, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 102, G_loss: 0.37497, step_acc: 6.50255, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 103, G_loss: 0.37283, step_acc: 6.53423, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 104, G_loss: 0.37108, step_acc: 6.57209, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 105, G_loss: 0.36898, step_acc: 6.62305, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 106, G_loss: 0.36647, step_acc: 6.67492, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 107, G_loss: 0.36347, step_acc: 6.73008, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 108, G_loss: 0.36062, step_acc: 6.75226, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 109, G_loss: 0.35937, step_acc: 6.76621, grid_scale: 1 / 5, strokes: 2 / 9
iteration step 110, G_loss: 0.35853, step_acc: 6.75133, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 111, G_loss: 0.35857, step_acc: 6.77642, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 112, G_loss: 0.35698, step_acc: 6.81534, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 113, G_loss: 0.35483, step_acc: 6.87265, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 114, G_loss: 0.35166, step_acc: 6.89186, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 115, G_loss: 0.35038, step_acc: 6.95449, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 116, G_loss: 0.34696, step_acc: 6.99522, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 117, G_loss: 0.34489, step_acc: 7.01640, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 118, G_loss: 0.34352, step_acc: 7.03831, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 119, G_loss: 0.34236, step_acc: 7.06431, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 120, G_loss: 0.34107, step_acc: 7.07623, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 121, G_loss: 0.34028, step_acc: 7.10744, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 122, G_loss: 0.33878, step_acc: 7.13411, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 123, G_loss: 0.33769, step_acc: 7.14107, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 124, G_loss: 0.33649, step_acc: 7.16364, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 125, G_loss: 0.33532, step_acc: 7.21539, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 126, G_loss: 0.33304, step_acc: 7.34955, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 127, G_loss: 0.32714, step_acc: 7.38194, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 128, G_loss: 0.32533, step_acc: 7.44266, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 129, G_loss: 0.32283, step_acc: 7.50456, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 130, G_loss: 0.32028, step_acc: 7.53795, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 131, G_loss: 0.31850, step_acc: 7.59261, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 132, G_loss: 0.31612, step_acc: 7.64012, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 133, G_loss: 0.31424, step_acc: 7.69101, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 134, G_loss: 0.31180, step_acc: 7.70379, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 135, G_loss: 0.31080, step_acc: 7.71356, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 136, G_loss: 0.31014, step_acc: 7.71515, grid_scale: 1 / 5, strokes: 3 / 9
iteration step 137, G_loss: 0.30975, step_acc: 7.72382, grid_scale: 1 / 5, strokes: 3 / 9
